id,user_id,title,description
1,1,"Calcioscommesse,deferito Mauri","mi aggiungo al coro del piero è sopravvalutato non è al livello di totti e baggio, è al livello di Di Natale, Miccoli ecc.... che sono sempre gocatori buoni ma non paragoniamolo a Totti e Baggio che facciamo ridere!!!"
2,1,"Roma,per la fascia Maicon","Unico nel suo genere , il SemiDio ancora ci omaggia con la sua presenza in questa terra senza speranza ! ... Capitano , mio Capitano ..."
3,1,"Osvaldo a Trigoria","Gli arbitri e gli juventini (spesso le due categorie coincidono) lo hanno tenuto in piedi col cucchiaino facendogli battere rigori inesistenti ed esaltando tutti i passaggi che faceva senza reggersi in piedi. "
4,1,"Nilmar o Saviola per Damiao","Roma super, Roma show, Roma qua e Roma la, ma non vi sembra che siano esagerati tutte questi entusiasmi? Io cercherei di mantenere un atteggiamento più attendista e di basso profilo."
5,1,"Napoli,scatta il valzer tra i pali","e quindi? ... m'hai arzato a gobba n'faccia??? ... ti ricordo che prima alzavi la ciociara come vessillo ... mahuhuahuahuahuhuahuahuahuhuahua ... nati ar pippa nera"
6,1,"Jedvaj a Trigoria per la firma","NOMEN OMEN Se un alto dirigente e socio della Podistica Lazio (poi anche presidente) si chiama Vaccaro può essere solo un caso, ma se il primo giocatore della Lazio a segnare in un derby si chiama Pastore le coincidenze cominciano ad essere già troppe"
7,1,"Juve,preso anche Ogbonna","I discorsi si concretizzarono il 9 Gennaio 1900. C’é già la Ginnastica Roma. Bigiarelli, rivolgendosi agli inseparabili amici, dice: 'dobbiamo trovare qualcosa che racchiuda Roma e nel contempo rappresenti un’attività che supera le Mura della città stessa'."
8,1,"Il Napoli che urla il malessere",".....saranno le uniche partite con squadre estere.... Poi grande abbuffata di Don Matteo!! Poracci!!! "
9,1,"Cavani,Cavani,noi abbiamo Cavani","Pjanic ha fatto una doppitetta. Dai sabattini approffittane e vendilo che famo cassa! Poi ancora non ho capito cosa ci fa taddei nella Roma. ma fa parte del contratto di totti tenere anche taddei? "
10,1,"12 mesi a ripetere questa ovvietà","LAZZIESI = PROFUGHI ANNATE A LAMPEDUSA STATE SEMPRE A SCRIVE SULLE PAGINE DELLA ROMA SULLE VOSTRE NUN VESENCUL@ NESSUNO"
11,1,"I tifosi della rubentus nella vita","ma tu ti chiami Moggi76 e ho detto tutto chi dovevo mettere al primo posto secondo te ????? quel bradipo mezzo morto di pirlo??? o quella specie di castoro di tevez??? o magari quel palo della luce di llorente????"
12,1,"non avete un cavolo da fare","personalmente questo giocatore no lo prenderei mai,per due semplicissimi motivi,1 e' uno scarso,2 non darei mai soldi a zamparini e' come cellino.fasse frega' da quei due non e' una cosa da persone intelligenti"
13,1,"Rosikoniiiiii io vado al mareeeee","SABATINI MI RACCOMANDO VENDI OSVALDO CHE E' UN CAMPIONE E PRENDI UNO CHE NON E' TITOLARE NEL PALERMO E SPACCIALO PER TOP PLAYER!! "
14,1,"Chi siete? Nessuno","Hernandez del Palermo è invece perfettamente sovrapponibili all’identikit disegnato da Garcia"
15,1,"Chi siamo noi? Campioni","Le nuove capsule hanno permesso di perdere 10 kg in un mese praticamente a chiunque, le abbia provate. Non solo agiscono in maniera rapida ed efficace. Non contengono nessun ingrediente chimico, sono naturali e sicuri per la salute."
16,1,"Tu sei campionessa di blow giob","Ho ordinato le capsule di caffe' verde e gia' dall'inizio iniziai a dimagrire molto velocemente. Dopo due giorni avevo letteralmente 2 kg in meno."
17,1,"Si guadagna sulla Domiziana?","Salve. Mi mancano 21 chilogrammi al peso ideale. Qualcuno e' dimagrito tanto? Scrivesse chiunque sa qualcosa su queste capsule, meglio se le ha provate."
18,1,"Ma vedi,juveladrona,bla bla bla","E io ci aggiungo qualche spicciolo. Poco tempo fa' ho assistito ad una lezione su questo argomento a farmacia, ed infatti, e' vero che questo unico ingrediente attiva il metabolismo e il tessuto adiposo viene bruciato piu' velocemente"
19,1,"Lo jumerdus stadium costa poco","E non finisce qui... 18-8-13 VI ALZIAMO LA SUPERCOPPA IN FACCIA! AVANTI LAZIO'"
20,1,"Bella,mi piace","Diabolik, dal tuo nick potresti avere 50 anni, mah!!!! Neanche alle elementari si facevano tali battute, ma sicuramente quella e' la tua eta celebrale. Mentecatto!"
21,1,"Mi piacciono soprattutto i colori","..non mi fido. La juve si farà trovare pronta già dalle prime di campionato, ma cmq non sarà una passeggiata, nè per i b/n nè per nessuno."
22,1,"mi piace il colletto, soprattutto","Notate bene: conte ha detto: il mio presidente non ha detto di vincere questo trofeo di amichevoli, e quindi ci prepariamo per il campionato e la champions! 2. Tutta la confederation cup e stata giocata da mezza juventus."
23,1,"mi piache che ci sia scritto ROMA","infatti in C. Cup se visto le figuracce fatte dalla difesa juventina...evita di menzionare quel flop pazzesco della Italjuve."
24,1,"È un ebete ma quale intelligente","Un'altra sconfitta della rubentus!!! Come GODOOOOO!!!! E con questa sono 4!!! Milan, Everton, Galaxy e Inter..... Non oso pensare cosa ti farà il Napoli"
25,1,"campo vale polissimo","La Lazio vuole un attaccante. Non a tutti i costi ma solo a certe condizioni. Primo: Kozak deve essere ceduto e servono otto milioni cash per strapparlo al club di Lotito. Non un euro di meno."
26,1,"Stella 123 sei una cacchina","La cura doveva finire ad agosto!! Invece continua perch?? non sta funzionando!! Sta dando anche effetti collaterali ai corropolesi. Comunque non sanno ne leggere e ne scrivere. Romanista gufo triste."
27,1,"i bambini non si insultano","È un articolo giustamente fazioso che si basa su enooooooormi dimenticanze storiche come vostro solito. Non per niente è su 'il romanista', noto giornale comico."
28,1,"lo psicologo serve a te","ve serve il solito zingaro....SCOMMETTIAMO ?"
29,1,"ancora insultate Paparelli","Ha detto Mauri che l'attaccante lalterale del Regina Coeli ' fortissimo... l'hanno arrestato per scippo... compratevi un giocatore/carcerato, cosi' vi portate il lavoro avanti... "
30,1,"ma come si fa a insultare","e' strano che proprio tu che sei laziale, non sai come si scrivei... si dice Regina Coeli (dal latino Regina dei cieli)... neanche la tua storia conosci..."
31,1,"Di bartolomei","Attenzione!! il seguente link vi condurra' a un gioco che crea dipendenza! Astenersi ricchi, noiosi, partigiani e deboli di cuore! http://bit.ly/eItaly ...  Pure tua sorella crea dipendenza sai?"
32,1,"lepre ci sarai tu","Il Napoli stringe per un altro attaccante. Difficoltà nella trattativa per Jackson Martinez. Gli azzurri hanno raggiunto l'accordo con il giocatore e l'attaccante ha fatto sapere al Porto di voler andare via."
