id,lesson_id,title,text,position,kind
1,1,History of China: Shag Dynasty,,1,cover
2,2,The birth of the great empire,,1,cover
3,3,Chain Reactions,,1,cover
4,4,Cronologia presenze Nazionale,,1,cover
5,5,Negro Gol,,1,cover
6,6,Voir Negro,,1,cover
7,7,Voi siete negri.,,1,cover
8,8,Il calamaro più grande del mondo,,1,cover
9,9,Laberinto,,1,cover
10,10,Che significa vi ho purgato ancora?,,1,cover
11,11,Chez Fifi,,1,cover
12,12,跟隨羅馬,,1,cover
13,13,لكن أسرة,,1,cover
14,14,"È lunedì, che umiliazione",,1,cover
15,15,"Citroen conferma, Hyundai ritorna",,1,cover
16,16,Ladies,,1,cover
17,17,2013 Trek Calendars Available,,1,cover
18,18,Holographic Love,,1,cover
19,19,Alimentazione,,1,cover
20,20,Qual è il giorno di fertilità?,,1,cover
21,21,Educazione figli,,1,cover
22,22,"Lazio, nuovo caso Fiorito dell'Idv",,1,cover
23,23,Ufologia,,1,cover
24,24,Chimica Uno,,1,cover
25,25,Chimica Due,,1,cover
26,26,Chimica Tre,,1,cover
27,27,Chimica Quattro,,1,cover
28,28,Chimica Cinque,,1,cover
29,29,Chimica Sei,,1,cover
30,30,Chimica Sette,,1,cover
31,31,Chimica Otto,,1,cover
32,32,Chimica Nove,,1,cover
33,33,Chimica Dieci,,1,cover
34,34,Chimica Undici,,1,cover
35,35,Chimica Dodici,,1,cover
36,36,Chimica Tredici,,1,cover
37,37,Chimica Quattordici,,1,cover
38,1,,,10,image1
39,1,,,9,image2
40,1,,,8,image3
41,1,,,7,image4
42,1,,,6,audio
43,1,,,5,video1
44,1,,,4,video2
45,1,,,3,text
46,1,,,2,title
47,2,,,3,text
48,2,,,2,video1
49,3,,,3,video2
50,3,,,2,video2
51,4,,,3,image3
52,4,,,2,audio
53,6,,,2,audio
54,7,,,3,text
55,7,,,2,text
56,9,,,3,video1
57,9,,,2,title
58,10,,,3,image1
59,10,,,2,image3
60,11,,,5,text
61,11,,,4,image2
62,11,,,3,image2
63,11,,,2,text
64,12,,,4,video2
65,12,,,3,audio
66,12,,,2,title
67,33,,,99,image1
68,33,,,98,image2
69,33,,,97,image3
70,33,,,96,image4
71,33,,,95,audio
72,33,,,94,video1
73,33,,,93,video2
74,33,,,92,text
75,33,,,91,title
76,33,,,90,image1
77,33,,,89,image2
78,33,,,88,image3
79,33,,,87,image4
80,33,,,86,audio
81,33,,,85,video1
82,33,,,84,video2
83,33,,,83,text
84,33,,,82,title
85,33,,,81,image1
86,33,,,80,image2
87,33,,,79,image3
88,33,,,78,image4
89,33,,,77,audio
90,33,,,76,video1
91,33,,,75,video2
92,33,,,74,text
93,33,,,73,title
94,33,,,72,image1
95,33,,,71,image2
96,33,,,70,image3
97,33,,,69,image4
98,33,,,68,audio
99,33,,,67,video1
100,33,,,66,video2
101,33,,,65,text
102,33,,,64,title
103,33,,,63,image1
104,33,,,62,image2
105,33,,,61,image3
106,33,,,60,image4
107,33,,,59,audio
108,33,,,58,video1
109,33,,,57,video2
110,33,,,56,text
111,33,,,55,title
112,33,,,54,video1
113,33,,,53,video2
114,33,,,52,text
115,33,,,51,title
116,33,,,50,image1
117,33,,,49,image2
118,33,,,48,image3
119,33,,,47,image4
120,33,,,46,audio
121,33,,,45,video1
122,33,,,44,video2
123,33,,,43,text
124,33,,,42,title
125,33,,,41,video1
126,33,,,40,video2
127,33,,,39,text
128,33,,,38,title
129,33,,,37,image1
130,33,,,36,image2
131,33,,,35,image3
132,33,,,34,image4
133,33,,,33,audio
134,33,,,32,video1
135,33,,,31,video2
136,33,,,30,text
137,33,,,29,title
138,33,,,28,video1
139,33,,,27,video2
140,33,,,26,text
141,33,,,25,title
142,33,,,24,image1
143,33,,,23,image2
144,33,,,22,image3
145,33,,,21,image4
146,33,,,20,audio
147,33,,,19,video1
148,33,,,18,video2
149,33,,,17,text
150,33,,,16,title
151,33,,,15,video1
152,33,,,14,video2
153,33,,,13,text
154,33,,,12,title
155,33,,,11,image1
156,33,,,10,image2
157,33,,,9,image3
158,33,,,8,image4
159,33,,,7,audio
160,33,,,6,video1
161,33,,,5,video2
162,33,,,4,text
163,33,,,3,title
164,33,,,2,video1
165,38,Laberinto,,1,cover
166,38,,,2,title
167,38,,,3,video1
168,39,Voir Negro,,1,cover
169,39,,,2,audio
170,40,Chain Reactions,,1,cover
171,40,,,2,video2
172,40,,,3,video2
173,41,Qual è il giorno di fertilità?,,1,cover
174,42,跟隨羅馬,,1,cover
175,42,,,2,title
176,42,,,3,audio
177,42,,,4,video2
178,43,跟隨羅馬,,1,cover
179,43,,,2,title
180,43,,,3,audio
181,43,,,4,video2
