tag_id,taggable_id,taggable_type
1,1,Lesson
2,1,Lesson
3,1,Lesson
4,1,Lesson
5,1,Lesson
6,1,Lesson
7,1,Lesson
5,2,Lesson
6,2,Lesson
7,2,Lesson
8,2,Lesson
9,2,Lesson
10,2,Lesson
11,2,Lesson
9,3,Lesson
10,3,Lesson
11,3,Lesson
12,3,Lesson
13,3,Lesson
14,3,Lesson
15,3,Lesson
15,4,Lesson
16,4,Lesson
17,4,Lesson
18,4,Lesson
19,4,Lesson
20,4,Lesson
21,4,Lesson
19,5,Lesson
20,5,Lesson
21,5,Lesson
22,5,Lesson
23,5,Lesson
24,5,Lesson
25,5,Lesson
23,6,Lesson
24,6,Lesson
25,6,Lesson
26,6,Lesson
27,6,Lesson
28,6,Lesson
29,6,Lesson
27,7,Lesson
28,7,Lesson
29,7,Lesson
30,7,Lesson
31,7,Lesson
32,7,Lesson
33,7,Lesson
31,8,Lesson
32,8,Lesson
33,8,Lesson
34,8,Lesson
1,8,Lesson
2,8,Lesson
3,8,Lesson
3,9,Lesson
6,9,Lesson
9,9,Lesson
12,9,Lesson
15,9,Lesson
18,9,Lesson
21,9,Lesson
7,10,Lesson
14,10,Lesson
21,10,Lesson
28,10,Lesson
5,10,Lesson
10,10,Lesson
15,10,Lesson
1,11,Lesson
2,11,Lesson
3,11,Lesson
4,11,Lesson
5,11,Lesson
6,11,Lesson
7,11,Lesson
5,12,Lesson
6,12,Lesson
7,12,Lesson
8,12,Lesson
9,12,Lesson
10,12,Lesson
11,12,Lesson
9,13,Lesson
10,13,Lesson
11,13,Lesson
12,13,Lesson
13,13,Lesson
14,13,Lesson
15,13,Lesson
15,14,Lesson
16,14,Lesson
17,14,Lesson
18,14,Lesson
19,14,Lesson
20,14,Lesson
21,14,Lesson
19,15,Lesson
20,15,Lesson
21,15,Lesson
22,15,Lesson
23,15,Lesson
24,15,Lesson
25,15,Lesson
23,16,Lesson
24,16,Lesson
25,16,Lesson
26,16,Lesson
27,16,Lesson
28,16,Lesson
29,16,Lesson
27,17,Lesson
28,17,Lesson
29,17,Lesson
30,17,Lesson
31,17,Lesson
32,17,Lesson
33,17,Lesson
31,18,Lesson
32,18,Lesson
33,18,Lesson
34,18,Lesson
1,18,Lesson
2,18,Lesson
3,18,Lesson
3,19,Lesson
6,19,Lesson
9,19,Lesson
12,19,Lesson
15,19,Lesson
18,19,Lesson
21,19,Lesson
7,20,Lesson
14,20,Lesson
21,20,Lesson
28,20,Lesson
5,20,Lesson
10,20,Lesson
15,20,Lesson
1,21,Lesson
2,21,Lesson
3,21,Lesson
4,21,Lesson
5,21,Lesson
6,21,Lesson
7,21,Lesson
5,22,Lesson
6,22,Lesson
7,22,Lesson
8,22,Lesson
9,22,Lesson
10,22,Lesson
11,22,Lesson
9,23,Lesson
10,23,Lesson
11,23,Lesson
12,23,Lesson
13,23,Lesson
14,23,Lesson
15,23,Lesson
15,24,Lesson
16,24,Lesson
17,24,Lesson
18,24,Lesson
19,24,Lesson
20,24,Lesson
21,24,Lesson
19,25,Lesson
20,25,Lesson
21,25,Lesson
22,25,Lesson
23,25,Lesson
24,25,Lesson
25,25,Lesson
23,26,Lesson
24,26,Lesson
25,26,Lesson
26,26,Lesson
27,26,Lesson
28,26,Lesson
29,26,Lesson
27,27,Lesson
28,27,Lesson
29,27,Lesson
30,27,Lesson
31,27,Lesson
32,27,Lesson
33,27,Lesson
31,28,Lesson
32,28,Lesson
33,28,Lesson
34,28,Lesson
1,28,Lesson
2,28,Lesson
3,28,Lesson
3,29,Lesson
6,29,Lesson
9,29,Lesson
12,29,Lesson
15,29,Lesson
18,29,Lesson
21,29,Lesson
7,30,Lesson
14,30,Lesson
21,30,Lesson
28,30,Lesson
5,30,Lesson
10,30,Lesson
15,30,Lesson
1,31,Lesson
2,31,Lesson
3,31,Lesson
4,31,Lesson
5,31,Lesson
6,31,Lesson
7,31,Lesson
5,32,Lesson
6,32,Lesson
7,32,Lesson
8,32,Lesson
9,32,Lesson
10,32,Lesson
11,32,Lesson
9,33,Lesson
10,33,Lesson
11,33,Lesson
12,33,Lesson
13,33,Lesson
14,33,Lesson
15,33,Lesson
15,34,Lesson
16,34,Lesson
17,34,Lesson
18,34,Lesson
19,34,Lesson
20,34,Lesson
21,34,Lesson
19,35,Lesson
20,35,Lesson
21,35,Lesson
22,35,Lesson
23,35,Lesson
24,35,Lesson
25,35,Lesson
23,36,Lesson
24,36,Lesson
25,36,Lesson
26,36,Lesson
27,36,Lesson
28,36,Lesson
29,36,Lesson
27,37,Lesson
28,37,Lesson
29,37,Lesson
30,37,Lesson
31,37,Lesson
32,37,Lesson
33,37,Lesson
1,1,MediaElement
2,1,MediaElement
3,1,MediaElement
4,1,MediaElement
5,1,MediaElement
6,1,MediaElement
7,1,MediaElement
5,2,MediaElement
6,2,MediaElement
7,2,MediaElement
8,2,MediaElement
9,2,MediaElement
10,2,MediaElement
11,2,MediaElement
9,3,MediaElement
10,3,MediaElement
11,3,MediaElement
12,3,MediaElement
13,3,MediaElement
14,3,MediaElement
15,3,MediaElement
15,4,MediaElement
16,4,MediaElement
17,4,MediaElement
18,4,MediaElement
19,4,MediaElement
20,4,MediaElement
21,4,MediaElement
19,5,MediaElement
20,5,MediaElement
21,5,MediaElement
22,5,MediaElement
23,5,MediaElement
24,5,MediaElement
25,5,MediaElement
23,6,MediaElement
24,6,MediaElement
25,6,MediaElement
26,6,MediaElement
27,6,MediaElement
28,6,MediaElement
29,6,MediaElement
27,7,MediaElement
28,7,MediaElement
29,7,MediaElement
30,7,MediaElement
31,7,MediaElement
32,7,MediaElement
33,7,MediaElement
31,8,MediaElement
32,8,MediaElement
33,8,MediaElement
34,8,MediaElement
1,8,MediaElement
2,8,MediaElement
3,8,MediaElement
3,9,MediaElement
6,9,MediaElement
9,9,MediaElement
12,9,MediaElement
15,9,MediaElement
18,9,MediaElement
21,9,MediaElement
7,10,MediaElement
14,10,MediaElement
21,10,MediaElement
28,10,MediaElement
5,10,MediaElement
10,10,MediaElement
15,10,MediaElement
1,11,MediaElement
2,11,MediaElement
3,11,MediaElement
4,11,MediaElement
5,11,MediaElement
6,11,MediaElement
7,11,MediaElement
5,12,MediaElement
6,12,MediaElement
7,12,MediaElement
8,12,MediaElement
9,12,MediaElement
10,12,MediaElement
11,12,MediaElement
9,13,MediaElement
10,13,MediaElement
11,13,MediaElement
12,13,MediaElement
13,13,MediaElement
14,13,MediaElement
15,13,MediaElement
15,14,MediaElement
16,14,MediaElement
17,14,MediaElement
18,14,MediaElement
19,14,MediaElement
20,14,MediaElement
21,14,MediaElement
19,15,MediaElement
20,15,MediaElement
21,15,MediaElement
22,15,MediaElement
23,15,MediaElement
24,15,MediaElement
25,15,MediaElement
23,16,MediaElement
24,16,MediaElement
25,16,MediaElement
26,16,MediaElement
27,16,MediaElement
28,16,MediaElement
29,16,MediaElement
27,17,MediaElement
28,17,MediaElement
29,17,MediaElement
30,17,MediaElement
31,17,MediaElement
32,17,MediaElement
33,17,MediaElement
31,18,MediaElement
32,18,MediaElement
33,18,MediaElement
34,18,MediaElement
1,18,MediaElement
2,18,MediaElement
3,18,MediaElement
3,19,MediaElement
6,19,MediaElement
9,19,MediaElement
12,19,MediaElement
15,19,MediaElement
18,19,MediaElement
21,19,MediaElement
7,20,MediaElement
14,20,MediaElement
21,20,MediaElement
28,20,MediaElement
5,20,MediaElement
10,20,MediaElement
15,20,MediaElement
1,21,MediaElement
2,21,MediaElement
3,21,MediaElement
4,21,MediaElement
5,21,MediaElement
6,21,MediaElement
7,21,MediaElement
5,22,MediaElement
6,22,MediaElement
7,22,MediaElement
8,22,MediaElement
9,22,MediaElement
10,22,MediaElement
11,22,MediaElement
9,23,MediaElement
10,23,MediaElement
11,23,MediaElement
12,23,MediaElement
13,23,MediaElement
14,23,MediaElement
15,23,MediaElement
15,24,MediaElement
16,24,MediaElement
17,24,MediaElement
18,24,MediaElement
19,24,MediaElement
20,24,MediaElement
21,24,MediaElement
19,25,MediaElement
20,25,MediaElement
21,25,MediaElement
22,25,MediaElement
23,25,MediaElement
24,25,MediaElement
25,25,MediaElement
23,26,MediaElement
24,26,MediaElement
25,26,MediaElement
26,26,MediaElement
27,26,MediaElement
28,26,MediaElement
29,26,MediaElement
27,27,MediaElement
28,27,MediaElement
29,27,MediaElement
30,27,MediaElement
31,27,MediaElement
32,27,MediaElement
33,27,MediaElement
31,28,MediaElement
32,28,MediaElement
33,28,MediaElement
34,28,MediaElement
1,28,MediaElement
2,28,MediaElement
3,28,MediaElement
3,29,MediaElement
6,29,MediaElement
9,29,MediaElement
12,29,MediaElement
15,29,MediaElement
18,29,MediaElement
21,29,MediaElement
7,30,MediaElement
14,30,MediaElement
21,30,MediaElement
28,30,MediaElement
5,30,MediaElement
10,30,MediaElement
15,30,MediaElement
1,31,MediaElement
2,31,MediaElement
3,31,MediaElement
4,31,MediaElement
5,31,MediaElement
6,31,MediaElement
7,31,MediaElement
5,32,MediaElement
6,32,MediaElement
7,32,MediaElement
8,32,MediaElement
9,32,MediaElement
10,32,MediaElement
11,32,MediaElement
9,33,MediaElement
10,33,MediaElement
11,33,MediaElement
