id,user_id,bookmarkable_id,bookmarkable_type
1,6,58,MediaElement
2,6,6,MediaElement
3,6,10,MediaElement
4,6,14,MediaElement
5,6,48,MediaElement
6,6,26,MediaElement
7,6,25,MediaElement
8,7,4,MediaElement
9,7,30,MediaElement
10,7,28,MediaElement
11,7,27,MediaElement
12,7,23,MediaElement
13,7,22,MediaElement
14,7,19,MediaElement
15,7,7,MediaElement
16,7,3,MediaElement
17,2,90,MediaElement
18,2,82,MediaElement
19,2,4,Lesson
20,7,89,MediaElement
21,7,97,MediaElement
22,7,91,MediaElement
23,7,93,MediaElement
24,7,96,MediaElement
25,7,101,MediaElement
26,7,98,MediaElement
27,7,102,MediaElement
28,2,95,MediaElement
29,2,104,MediaElement
30,2,105,MediaElement
31,2,106,MediaElement
32,2,107,MediaElement
33,7,110,MediaElement
34,7,116,MediaElement
35,7,1,MediaElement
36,7,5,MediaElement
37,7,56,MediaElement
38,7,15,MediaElement
39,7,16,MediaElement
40,7,40,MediaElement
41,3,78,MediaElement
42,3,77,MediaElement
43,3,112,MediaElement
44,3,115,MediaElement
45,3,99,MediaElement
46,3,80,MediaElement
47,3,83,MediaElement
48,3,113,MediaElement
49,3,88,MediaElement
50,3,109,MediaElement
51,3,108,MediaElement
52,3,111,MediaElement
53,3,81,MediaElement
54,3,100,MediaElement
55,3,79,MediaElement
56,3,86,MediaElement
57,3,114,MediaElement
58,2,5,Lesson
59,2,8,Lesson
60,7,53,MediaElement
61,7,18,MediaElement
62,7,167,MediaElement
64,3,153,MediaElement
65,3,154,MediaElement
66,3,161,MediaElement
67,3,166,MediaElement
68,3,172,MediaElement
69,3,173,MediaElement
70,3,170,MediaElement
71,3,169,MediaElement
72,3,150,MediaElement
73,3,151,MediaElement
74,3,162,MediaElement
75,3,152,MediaElement
76,3,168,MediaElement
77,3,155,MediaElement
78,3,174,MediaElement
79,3,175,MediaElement
80,3,156,MediaElement
81,3,149,MediaElement
82,3,164,MediaElement
83,3,178,MediaElement
84,3,165,MediaElement
85,3,158,MediaElement
86,3,177,MediaElement
87,3,163,MediaElement
88,3,122,MediaElement
89,3,140,MediaElement
90,3,120,MediaElement
91,3,139,MediaElement
92,3,130,MediaElement
93,3,142,MediaElement
94,3,132,MediaElement
95,3,133,MediaElement
96,3,124,MediaElement
97,3,135,MediaElement
98,3,128,MediaElement
99,3,131,MediaElement
100,3,127,MediaElement
101,3,123,MediaElement
102,3,141,MediaElement
103,3,137,MediaElement
104,3,147,MediaElement
105,3,134,MediaElement
106,3,138,MediaElement
107,3,129,MediaElement
108,3,125,MediaElement
109,2,118,MediaElement
110,2,119,MediaElement
111,2,136,MediaElement
112,2,126,MediaElement
113,6,68,MediaElement
114,6,71,MediaElement
115,6,69,MediaElement
116,6,66,MediaElement
117,6,70,MediaElement
118,6,72,MediaElement
119,6,65,MediaElement
120,6,67,MediaElement
121,6,74,MediaElement
122,6,76,MediaElement
123,6,73,MediaElement
124,6,75,MediaElement
129,7,144,MediaElement
130,7,145,MediaElement
132,7,9,Lesson
145,7,171,MediaElement
151,7,84,MediaElement
164,8,159,MediaElement
165,8,157,MediaElement
166,8,148,MediaElement
167,3,7,Lesson
180,7,2,Lesson
185,5,1,Lesson
190,5,12,Lesson
193,5,6,Lesson
196,5,3,Lesson
263,7,140,MediaElement
264,7,141,MediaElement
266,7,147,MediaElement
267,7,139,MediaElement
268,7,138,MediaElement
269,7,135,MediaElement
270,7,133,MediaElement
271,7,130,MediaElement
272,7,122,MediaElement
273,1,262,MediaElement
277,1,264,MediaElement
