"id","user_id","school_level_id","subject_id","title","description","is_public","parent_id","copied_not_modified","token","notified","uuid"
1,6,1,5,"J.M.Basquiat-Plush safe he think..","Jean-Michel Basquiat, born in Brooklyn, New York after the death of his brother Max, was the second of four children of Matilda Andrades (July 28, 1934 – November 17, 2008) and Gerard Basquiat (born 1930).","t",,"f","uGnYAt0Aiysxujl_ayoLJg","t","bceb278d-1dac-44bc-a022-8b831091fcfd"
2,6,1,10,"Welcome in London","The etymology of London is uncertain. It is an ancient name and can be found in sources from the 2nd century. It is recorded c. 121 as Londinium, which points to Romano-British origin.","t",,"f","8ZVYoicIuBxJl3n_yZEEwQ","t","5e3838aa-0ec0-4c4d-a754-30cd124491db"
3,2,2,2,"2012 phenomenon","The 2012 phenomenon comprises a range of eschatological beliefs according to which cataclysmic or transformative events will occur on 21 December 2012","t",,"f","9U2OEXRXaRQSC5EoS_F9Yg","t","886b7e7d-9c30-4fec-a844-bb471905c5f1"
4,7,3,3,"The big apple","New York is the most populous city in the United States and the center of the New York Metropolitan Area, one of the most populous metropolitan areas in the world.","t",,"f","3Cpwg_Sa5ReDsb3Uk8PB3w","t","80f5b3d1-30fd-451b-bdfb-fe4fc1af53cb"
5,7,3,5,"Life is pop!","Pop art is an art movement that emerged in the mid 1950s in Britain and in the late 1950s in the United States.","t",,"f","8dQgKXju1fbmC4WcKhOO7w","t","ccb7cc7f-29e3-417c-b956-e56378f68209"
6,3,3,2,"Egon Schiele","One of the major figurative painter of the early 20th century.","t",,"f","giw9iKFvP5JktEhs9gTVfA","t","12497d0a-19a6-4d02-9592-a12a8b8d5e5b"
7,2,2,2,"Rene Magritte and his paintings","Rene Magritte was born in Lessines, in the province of Hainaut, in 1898, the eldest son of Leopold Magritte, who was a tailor and textile merchant, and Regina (nee Bertinchamps), a milliner until her marriage.","t",,"f","3Prk0ZDBi4e-FGbNZ84Mjg","t","747ecc0d-8617-4e37-bcdf-70065afd8b9c"
8,7,3,2,"Every man for himself ...","A lesson to learn about the animal world.","t",,"f","txL-_TMZc9ZszMdXr_i0aw","t","6c6dfe45-9f6e-43ae-8008-dfb7fbbc69ff"
9,3,3,11,"Sebastião Salgado","Sebastião Salgado (born February 8, 1944) is a Brazilian social documentary photographer and photojournalist.","t",,"f","9UUJVusWVUHGR213s29EOA","t","c4e32b2f-2bce-4357-ae87-526b18c6adc2"
11,7,3,1,"Maths","The word mathematics comes from the Greek μάθημα (máthēma), which, in the ancient Greek language, means ""what one learns"", ""what one gets to know"", hence also ""study"" and ""science"", and in modern Greek just ""lesson"".","f",,"f","ghrOurxo6BUd5kDGzYMBCQ","t","66bf223f-9e83-49d7-8896-c1008f68b10f"
12,3,3,11,"Josef Koudelka","Josef Koudelka is a Czech photographer.","t",,"f","TZylkSxqsjH8goBrxamByg","t","e7ba52aa-ff48-42a6-8650-ead19ee12abe"
14,8,1,9,"Chinese","it is ok","f",,"f","rRfi9l2M9DEUxiWeyfK5wg","t","8b190851-1396-4d13-9444-01fb8aef0c3f"
15,8,1,9,"Chinese","it is ok","f",,"f","mnN_H2u4ax_Y-uGyf7roVQ","t","e1a25f65-7e59-4a5b-b2ce-69f996300bc1"
16,8,1,9,"Chinese","it is ok","f",,"f","pcfAhBowfUneA5MzP0SapQ","t","5dd9a492-c986-428b-91cf-6d7080561868"
17,8,1,9,"Chinese","it is ok","f",,"f","0t_S15iJa80xTuxaPM615w","t","797a4c34-0347-42d7-9440-ad8e055d145e"
19,2,2,1,"Lezione 1","description (max 280 characters)","f",,"f","aevXs_XlrtWNE1ivNnqPcg","t","79b80e58-9126-43a7-801b-985dc6cf769f"
20,7,3,6,"Lezione di prova","dkidjjehdjdhj edhjedhjehdje edhejdhe edhejhed edhjjed","f",,"f","AvzHfhH1zUeugwXEOQWfKg","t","dee4f0b2-22e3-4049-b764-6bf68f1f8da4"
21,1,1,11,"weref","sdsfdsdfsdf,affa","f",,"f","p6E-oKMYAWgjRpuPKa90bA","t","32e38c8e-f572-481e-b80e-fd836381e43a"
22,5,1,5,"J.M.Basquiat-Plush safe he think..","Jean-Michel Basquiat, born in Brooklyn, New York after the death of his brother Max, was the second of four children of Matilda Andrades (July 28, 1934 – November 17, 2008) and Gerard Basquiat (born 1930).","f",1,"f","IeSyoCoVY01GqOukYGbhxA","t","33236aca-7011-4909-8c64-4ab3d7205e06"
23,7,3,5,"Visive arts","A virtual journey into the history of the visual arts.","f",,"f","jfvYqCNpM9KHEmnMsA0Iaw","t","125089a5-5aab-4f7f-a67f-d1f0e93276d9"
62,1,1,10,Le autorizzazioni ambientali ,"Lezione nell'ambito del Master
Diritto delle società e dei contratti d’impresa. Profili europei ed internazionali
Università degli Studi LUISS - Guido Carli ",t,,f,B7pDkbEE4i5hi6hQBmAuNQ,f,1cab8fdf-fee0-4978-aced-86b1fa97efe8
