id,user_id,title,description,sti_type,is_public,publication_date,mp4_duration,webm_duration,m4a_duration,ogg_duration
1,5,A couple of donkeys,A nice picture. Two donkeys smiling!,Image,t,2012-12-20 10:31:32.127534,,,,
2,2,Futuristic architecture,"Between the end of the twentieth century and early twenty-first century, in the city of Valencia (Spain), several architectural and urban projects took place.",Image,t,2012-12-20 10:31:29.127534,,,,
3,6,Birds,"Sea gulls are birds of medium size: a small sea gull measures around 30 centimeters (for a weight of 120 grams), while a big one can reah 75 centimeters (for 200 grams kilos).",Image,t,2012-12-20 10:31:26.127534,,,,
4,6,Traffic,"A picture from New York City. The metropolitan area of ​​New York is located at the intersection of three states (New York, New Jersey and Connecticut).",Image,t,2012-12-20 10:31:23.127534,,,,
5,3,Iguana,"A beautiful picture of an iguana. Iguanas are very similar to lizards, but bigger and slower.",Image,t,2012-12-20 10:31:20.127534,,,,
6,2,Wind,"Wind power is the energy obtained from the wind. Today it is mostly converted into electricity by a wind farm, while in the past wind energy was directly used by a local factory.",Image,t,2012-12-20 10:31:17.127534,,,,
7,6,Love for art,"Chuck Close (Snohomish County, July 5, 1940) is an American painter and photographer.",Image,t,2012-12-20 10:31:14.127534,,,,
8,2,Compact disk,"The compact disc is composed of a disk of transparent polycarbonate, generally 12 centimeters in diameter, covered at the top by a thin sheet of metal material.",Image,t,2012-12-20 10:31:11.127534,,,,
9,3,Flowers,"A picture of nice colored flowers, to be used in any natural science lesson.",Image,t,2012-12-20 10:31:08.127534,,,,
10,4,Battery,A battery is a device consisting of one or more electrochemical cells that convert stored chemical energy into electrical energy.,Image,t,2012-12-20 10:31:05.127534,,,,
11,6,Pantheon,"The Pantheon (""Temple of all gods"") is an ancient building in the center of Rome.",Image,t,2012-12-20 10:31:02.127534,,,,
12,7,Lawn,A picture of a winded lawn during spring.,Image,t,2012-12-20 10:30:59.127534,,,,
13,3,History of the wood,The wood is a source of energy and cellulose.,Image,t,2012-12-20 10:30:56.127534,,,,
14,4,Rome,"A beautiful picture of one of the most beautiful cities in the world. You can see the dome of St Peter, the cradle of Christian civilization.",Image,t,2012-12-20 10:30:53.127534,,,,
15,5,Bees,"Since prehistoric times, the bee has been useful to mankind.",Image,t,2012-12-20 10:30:50.127534,,,,
16,5,A flying machine,Nature has provided birds with a perfect structure allowing them to fly.,Image,t,2012-12-20 10:30:47.127534,,,,
17,2,Natural gas,"In nature, the gas is produced by the anaerobic decomposition of organic material.",Image,t,2012-12-20 10:30:44.127534,,,,
18,2,Family,A mother uses the internet to help her child studying.,Image,t,2012-12-20 10:30:41.127534,,,,
19,7,Harlem,"Harlem is a neighborhood of Manhattan in New York City, known as a major commercial and cultural center of Afro-Americans.",Image,t,2012-12-20 10:30:38.127534,,,,
20,6,Modern architecture,"The ""Hemisfèric"" is one of the buildings of ""Ciutat de les Arts i les Ciències"" in Valencia.",Image,t,2012-12-20 10:30:35.127534,,,,
21,2,Peacock,The plumage of these birds is one of the most colorful in the animal world.,Image,t,2012-12-20 10:30:32.127534,,,,
22,6,People,A group of interested visitors walking in the halls of a museum of modern art.,Image,t,2012-12-20 10:30:29.127534,,,,
23,6,Money,"As in a famous song of the Beatles, ""That's all I want"".",Image,t,2012-12-20 10:30:26.127534,,,,
24,4,Airport,Heathrow Airport is the main airport in London.,Image,t,2012-12-20 10:30:23.127534,,,,
25,6,Underground,The London Underground is the largest subway system in Europe.,Image,t,2012-12-20 10:30:20.127534,,,,
26,3,Plane,The Boeing 737 is the most widely used airliner for medium-short routes.,Image,t,2012-12-20 10:30:17.127534,,,,
27,6,Statue of Liberty,"Liberty Enlightening the World (lit. Liberty enlightening the world; fr. Éclairant La liberté le monde), more commonly known as the Statue of Liberty, is the symbol of New York.",Image,t,2012-12-20 10:30:14.127534,,,,
28,6,A young woman,Portrait of a Muslim woman.,Image,t,2012-12-20 10:30:11.127534,,,,
29,3,The Sphinx,The sphinx is a mythological figure belonging to Egyptian mythology.,Image,t,2012-12-20 10:30:08.127534,,,,
30,6,A long bridge,A picture of a bridge.,Image,t,2012-12-20 10:30:05.127534,,,,
31,3,DNA,DNA is an organic polymer made ​​up of monomers called nucleotides (deoxyribonucleotides).,Image,t,2012-12-20 10:30:02.127534,,,,
32,4,Solar system,The solar system consists of a variety of celestial bodies kept in orbit by the gravitational force of the Sun.,Image,t,2012-12-20 10:29:59.127534,,,,
33,2,What is energy?,The interview with an expert talking about energy (in italian language).,Audio,t,2012-12-20 10:31:33.127534,,,155.57,155.53
34,3,Energy statistics in Italy,An interview with experts about italian use and production of energy (in italian language).,Audio,t,2012-12-20 10:31:30.127534,,,194.35,194.32
35,4,Principles of modern energy,The principles of modern energy explained by experts (in italian language).,Audio,t,2012-12-20 10:31:27.127534,,,149.6,149.57
36,5,Once upon a time the energy,The history of energy development in the twentieth century (in italian language).,Audio,t,2012-12-20 10:31:24.127534,,,166.6,166.53
37,6,Digital sound,A good base of digital music to be used in your video.,Audio,t,2012-12-20 10:31:21.127534,,,238.51,238.46
38,7,Modern digital sound,A good base of digital music to be used in your video.,Audio,t,2012-12-20 10:31:18.127534,,,320.64,320.58
39,3,Water,A video explaining scientific facts about water.,Video,t,2012-12-20 10:31:34.127534,20.87,20.8,,
40,2,The life of bees,A very nice and interesting movie about bees.,Video,t,2012-12-20 10:31:31.127534,7.06,7.06,,
41,4,The structure of the atoms,"Atoms are made by protons, neutrons and electrons.",Video,t,2012-12-20 10:31:28.127534,10.0,10.03,,
42,5,Bacteria seen under a microscope,Bacteria include unicellular microorganisms and prokaryotes.,Video,t,2012-12-20 10:31:25.127534,10.23,10.23,,
43,5,Structure of the cell,The cell is the smallest structure that might bt classified as living.,Video,t,2012-12-20 10:31:22.127534,11.6,11.6,,
44,3,Let's look inside us,A video about cells.,Video,t,2012-12-20 10:31:19.127534,9.96,9.96,,
45,7,A chemical experiment,"Chemistry is the science, which studies the composition of matter.",Video,t,2012-12-20 10:31:16.127534,9.56,9.56,,
46,4,Interesting chemical experiment,A video about an interesting chemical experiment.,Video,t,2012-12-20 10:31:13.127534,16.92,16.92,,
47,6,The future comes from the sun,Solar energy is the energy which makes life possible on the earth.,Video,t,2012-12-20 10:31:10.127534,10.13,10.13,,
48,7,The biggest star,The Sun is the parent star of the solar system.,Video,t,2012-12-20 10:31:07.127534,10.04,10.04,,
49,2,A chemical experiment about liquids,The liquid is one of the states of matter.,Video,t,2012-12-20 10:31:04.127534,24.37,24.37,,
50,3,Discover the liquids,Ionic liquids are chemical compounds consisting exclusively of ions.,Video,t,2012-12-20 10:31:01.127534,15.0,15.03,,
51,6,Inside mathematics,Mathematics has a long tradition.,Video,t,2012-12-20 10:30:58.127534,9.93,9.93,,
52,6,Descriptive geometry,A video about descriptive geometry.,Video,t,2012-12-20 10:30:55.127534,14.03,14.03,,
53,4,The triangle,"In geometry, the triangle is a polygon formed by three corners or vertices and three sides.",Video,t,2012-12-20 10:30:52.127534,14.03,14.03,,
54,2,Chemical lab,Two researchers working in a chemical lab.,Video,t,2012-12-20 10:30:49.127534,14.62,14.62,,
55,3,Behavior of liquids,A video about the behavior of liquids.,Video,t,2012-12-20 10:30:46.127534,27.63,27.54,,
56,6,Snail,The snail is not always gray.,Video,t,2012-12-20 10:30:43.127534,28.44,28.44,,
57,5,On the footsteps of Titanic,The Titanic sank in the beginning of twentieth century in the Atlantic Ocean.,Video,t,2012-12-20 10:30:40.127534,19.2,19.2,,
58,6,Wind Energy,Wind energy is the energy obtained from the wind.,Video,t,2012-12-20 10:30:37.127534,8.7,8.7,,
59,4,How does a real chemistry lab work?,We enter into a research center.,Video,t,2012-12-20 10:30:34.127534,30.87,30.91,,
60,4,The birth of a star,A star is a celestial body that shines with its own light.,Video,t,2012-12-20 10:30:31.127534,10.04,10.04,,
61,6,Little scientists,A high school class try simple chemistry experiments.,Video,t,2012-12-20 10:30:28.127534,26.41,26.41,,
62,2,Look at the virus closely,Viruses are biological entities.,Video,t,2012-12-20 10:30:25.127534,10.3,10.3,,
65,6,Jean Michelle,"Jean-Michel Basquiat (December 22, 1960 – August 12, 1988) was an American artist.[1] He began as an obscure graffiti artist in New York City in the late 1970s and evolved into an acclaimed Neo-expressionist and Primitivist painter by the 1980s.",Image,t,2012-12-21 14:50:11.170362,,,,
