id,lesson_id,title,text,position,kind
1,1,J.M.Basquiat-Plush safe he think..,,1,cover
2,1,Jean-Michel Basquiat,"<p>Jean-Michel Basquiat, born in Brooklyn, New York after the death of his brother Max, was the second of four children of Matilda Andrades (July 28, 1934 &ndash; November 17, 2008) and Gerard Basquiat (born 1930). He had two younger sisters: Lisane, born in 1964, and Jeanine, born in 1967.</p>
<p>His father, Gerard Basquiat, was born in Port-au-Prince, Haiti, and his mother, Matilde Basquiat, was of Puerto Rican descent, born in Brooklyn, New York.</p>
<p>Basquiat was a precocious child who learned how to read and write by age four and was a gifted artist.[7] His teachers noticed his artistic abilities, and his mother encouraged her son's artistic talent. By the age of eleven, Basquiat could fluently speak, read, and write French, Spanish, and English.</p>",2,image1
3,1,,,3,image3
4,1,SAMO IS DEAD,"<p>In September 1968, when Basquiat was about eight, he was hit by a car while playing in the street. His arm was broken and he suffered several internal injuries, and eventually underwent a splenectomy.</p>
<p>His parents separated that year and he and his sisters were raised by their father.</p>
<p>The family resided in Boerum Hill, Brooklyn, for five years, then moved to San Juan, Puerto Rico in 1974. After two years, they returned to New York City.[10] Then when he was eleven years old, his mother was committed to a mental institution and thereafter spent time in and out of institutions. At 15, Basquiat ran away from home.</p>
<p>He slept on park benches in Washington Square Park, and was arrested and returned to the care of his father within a week.</p>
<p>Basquiat dropped out of Edward R. Murrow High School in the tenth grade. His father banished him from the household and Basquiat stayed with friends in Brooklyn. He supported himself by selling T-shirts and homemade post cards. He also worked at the Unique Clothing Warehouse in West Broadway, Manhattan.</p>",4,image1
5,1,,,5,image2
6,1,Final years and death,"<p><span class=""size2"">By 1986, Basquiat had left the Annina Nosei gallery, and was showing in the famous Mary Boone gallery in SoHo. On February 10, 1985, he appeared on the cover of The New York Times Magazine in a feature entitled ""New Art, New Money: The Marketing of an American Artist"".</span></p>
<p><span class=""size2"">He was a successful artist in this period, but his growing heroin addiction began to interfere with his personal relationships.</span><br /><span class=""size2"">When Andy Warhol died on February 22, 1987, Basquiat became increasingly isolated, and his heroin addiction and depression grew more severe.</span></p>
<p><span class=""size2"">Despite an attempt at sobriety during a trip to Maui, Hawaii, Basquiat died on August 12, 1988, of a heroin overdose at his art studio in Great Jones Street in New York City's NoHo neighborhood. He was 27.</span></p>
<p><span class=""size2"">Basquiat was interred in Brooklyn's Green-Wood Cemetery.</span></p>",7,text
7,1,,,6,image2
8,2,Welcome in London,,1,cover
9,2,The history,"<p>London is a leading global city, with strengths in the arts, commerce, education, entertainment, fashion, finance, healthcare, media, professional services, research and development, tourism and transport all contributing to its prominence.</p>
<p>It is the world's leading financial centre alongside New York City and has the fifth- or sixth-largest metropolitan area GDP in the world depending on measurement. London has been described as a world cultural capital.</p>
<p>t is the world's most-visited city measured by international arrivals[18] and has the world's largest city airport system measured by passenger traffic.[19] London's 43 universities form the largest concentration of higher education in Europe.[20] In 2012, London became the first city to host the modern Summer Olympic Games three times.</p>
<p><br />London has a diverse range of peoples and cultures, and more than 300 languages are spoken within its boundaries.[22] In March 2011, London had an official population of 8,174,100, making it the most populous municipality in the European Union, and accounting for 12.5% of the UK population. The Greater London Urban Area is the second-largest in the EU with a population of 8,278,251,while the London metropolitan area is the largest in the EU with an estimated total population of between 12 million and 14 million.</p>
<p>London had the largest population of any city in the world from around 1831 to 1925.</p>",2,text
10,2,The City,"<p>London is the capital city of England and the United Kingdom, the largest city, urban zone and metropolitan area in the United Kingdom, and the European Union by most measures.</p>
<p>Located on the River Thames, London has been a major settlement for two millennia, its history going back to its founding by the Romans, who named it Londinium.</p>
<p>London's ancient core, the City of London, largely retains its square-mile mediaeval boundaries. Since at least the 19th century, the name London has also referred to the metropolis developed around this core.</p>
<p>The bulk of this conurbation forms the London region and the Greater London administrative area,[6][note 2] governed by the elected Mayor of London and the London Assembly.</p>",3,image1
11,2,London light,"<p>London is a leading global city, with strengths in the arts, commerce, education, entertainment, fashion, finance, healthcare, media, professional services, research and development, tourism and transport all contributing to its prominence.</p>
<p>It is the world's leading financial centre alongside New York City and has the fifth- or sixth-largest metropolitan area GDP in the world depending on measurement.</p>
<p>London has been described as a world cultural capital.</p>
<p>It is the world's most-visited city measured by international arrivals[18] and has the world's largest city airport system measured by passenger traffic.</p>
<p>London's 43 universities form the largest concentration of higher education in Europe.[20] In 2012, London became the first city to host the modern Summer Olympic Games three times.</p>",4,image1
13,2,,,5,image3
14,2,Black cabs,"<p>Motorised hackney cabs in the UK, traditionally all black in London and most major cities, are traditionally known as black cabs (which they were), although they are now produced in a variety of colours, sometimes in advertising brand liveries (see below). The 50 golden cabs produced for the Queen's Golden Jubilee celebrations in 2002 were notable.</p>
<p><br /><span class=""size2"" style=""color: #ff6600;"">Vehicle design</span><br />Historically four-door saloon cars have been highly popular as hackney carriages, but with disability regulations growing in strength and some councils offering free licensing for disabled-friendly vehicles, many operators are now opting for wheelchair-adapted taxis such as the LTI. Other models of specialist taxis include the Peugeot E7 and rivals from Fiat, Volkswagen, Metrocab and Mercedes-Benz.</p>
<p>These vehicles normally allow six or seven passengers, although some models can accommodate eight. Some of these 'minibus' taxis include a front passenger seat next to the driver, while others reserve this space solely for luggage.</p>
<p><br />Many black cabs have a turning circle of only 25 ft (8 m). One reason for this is the configuration of the famed Savoy Hotel: The hotel entrance's small roundabout meant that vehicles needed the small turning circle in order to navigate it.</p>",6,image1
15,2,Swinging London,,7,image1
16,3,2012 phenomenon,,1,cover
17,4,The big apple,,1,cover
18,4,New York City,"<p>New York has architecturally noteworthy buildings in a wide range of styles and from distinct time periods from the saltbox style Pieter Claesen Wyckoff House in Brooklyn, the oldest section of which dates to 1656, to the modern One World Trade Center, the skyscraper currently under construction at Ground Zero in Lower Manhattan and currently the most expensive new office tower in the world.<br />Manhattan's skyline with its many skyscrapers is universally recognized, and the city has been home to several of the tallest buildings in the world. As of 2011, New York City had 5,937 high-rise buildings, of which 550 completed structures were at least 100 meters high, both second in the world after Hong Kong, with over 50 completed skyscrapers taller than 656 feet (200 m). These include the Woolworth Building (1913), an early gothic revival skyscraper built with massively scaled gothic detailing.</p>
<p><br />The 1916 Zoning Resolution required setback in new buildings, and restricted towers to a percentage of the lot size, to allow sunlight to reach the streets below.[164] The Art Deco style of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements. The buildings have distinctive ornamentation, such as the eagles at the corners of the 61st floor on the Chrysler Building, and are considered some of the finest examples of the Art Deco style. A highly influential example of the international style in the United States is the Seagram Building (1957), distinctive for its fa&ccedil;ade using visible bronze-toned I-beams to evoke the building's structure. The Cond&eacute; Nast Building (2000) is a prominent example of green design in American skyscrapers.</p>",2,image1
19,4,,,3,image2
20,4,,,4,image3
21,4,,,5,image3
22,4,Not to be confused...,"<p>Harlem is a large neighborhood within the northern section of the New York City borough of Manhattan. Since the 1920s, Harlem has been known as a major African-American residential, cultural and business center. Originally a Dutch village, formally organized in 1658,[6] it is named after the city of Haarlem in the Netherlands. Harlem was annexed to New York City in 1873.</p>
<p>Harlem can be separated into three separate yet cohesive main sections: Central Harlem, West Harlem, and East Harlem. Harlem has been defined by a series of boom-and-bust cycles, with significant population shifts accompanying each cycle.</p>
<p><br />Black residents began to arrive en masse in 1905, with numbers fed by the Great Migration. In the 1920s and 1930s, Central and West Harlem were the focus of the ""Harlem Renaissance"", an outpouring of artistic and professional works without precedent in the American black community. However, with job losses in the time of the Great Depression and the deindustrialization of New York City after World War II, rates of crime and poverty increased significantly.<br />Today, Central Harlem has an African-American community comprising 81% of the population, creating the largest African-American community by percentage in all of New York City.</p>
<p>Central Harlem is the most famous section of Harlem and thus is commonly referred to simply as Harlem. Central Harlem is home to the famous Apollo Theater.</p>",6,image1
23,5,Life is pop!,,1,cover
24,3,Mesoamerican Long Count calendar,,2,title
