tag_id,taggable_id,taggable_type
1,1,MediaElement
2,1,MediaElement
3,1,MediaElement
4,1,MediaElement
5,1,MediaElement
6,2,MediaElement
7,2,MediaElement
8,2,MediaElement
9,2,MediaElement
10,2,MediaElement
11,2,MediaElement
12,2,MediaElement
1,3,MediaElement
13,3,MediaElement
14,3,MediaElement
15,3,MediaElement
16,3,MediaElement
17,3,MediaElement
12,3,MediaElement
18,4,MediaElement
19,4,MediaElement
20,4,MediaElement
17,4,MediaElement
12,4,MediaElement
5,5,MediaElement
1,5,MediaElement
4,5,MediaElement
21,5,MediaElement
12,5,MediaElement
22,5,MediaElement
5,6,MediaElement
23,6,MediaElement
24,6,MediaElement
16,6,MediaElement
12,6,MediaElement
4,6,MediaElement
8,7,MediaElement
25,7,MediaElement
26,7,MediaElement
17,7,MediaElement
27,7,MediaElement
28,7,MediaElement
29,7,MediaElement
30,7,MediaElement
5,8,MediaElement
31,8,MediaElement
32,8,MediaElement
33,8,MediaElement
34,8,MediaElement
35,8,MediaElement
36,8,MediaElement
5,9,MediaElement
4,9,MediaElement
37,9,MediaElement
38,9,MediaElement
39,9,MediaElement
40,9,MediaElement
23,10,MediaElement
5,10,MediaElement
41,10,MediaElement
42,10,MediaElement
43,11,MediaElement
44,11,MediaElement
16,11,MediaElement
45,11,MediaElement
46,11,MediaElement
47,11,MediaElement
48,11,MediaElement
8,11,MediaElement
49,12,MediaElement
4,12,MediaElement
16,12,MediaElement
50,12,MediaElement
51,13,MediaElement
4,13,MediaElement
52,13,MediaElement
8,13,MediaElement
5,13,MediaElement
12,13,MediaElement
43,14,MediaElement
53,14,MediaElement
54,14,MediaElement
12,14,MediaElement
16,14,MediaElement
55,14,MediaElement
44,14,MediaElement
8,14,MediaElement
4,15,MediaElement
56,15,MediaElement
38,15,MediaElement
37,15,MediaElement
1,15,MediaElement
57,15,MediaElement
4,16,MediaElement
14,16,MediaElement
16,16,MediaElement
1,16,MediaElement
39,16,MediaElement
5,16,MediaElement
4,17,MediaElement
58,17,MediaElement
59,17,MediaElement
60,17,MediaElement
39,17,MediaElement
5,17,MediaElement
61,18,MediaElement
