tag_id,taggable_id,taggable_type
1,51,Lesson
2,51,Lesson
3,51,Lesson
4,51,Lesson
5,57,MediaElement
6,57,MediaElement
7,57,MediaElement
8,57,MediaElement
7,62,MediaElement
8,62,MediaElement
9,62,MediaElement
10,62,MediaElement
10,144,MediaElement
11,144,MediaElement
12,144,MediaElement
13,144,MediaElement
12,148,MediaElement
13,148,MediaElement
14,148,MediaElement
15,148,MediaElement
15,166,MediaElement
16,166,MediaElement
5,166,MediaElement
6,166,MediaElement
7,183,MediaElement
8,183,MediaElement
9,183,MediaElement
10,183,MediaElement
11,196,MediaElement
12,196,MediaElement
13,196,MediaElement
14,196,MediaElement
15,199,MediaElement
16,199,MediaElement
7,199,MediaElement
8,199,MediaElement
10,207,MediaElement
11,207,MediaElement
14,207,MediaElement
16,207,MediaElement
7,208,MediaElement
8,208,MediaElement
11,208,MediaElement
12,208,MediaElement
5,220,MediaElement
7,220,MediaElement
8,220,MediaElement
15,220,MediaElement
6,231,MediaElement
7,231,MediaElement
9,231,MediaElement
13,231,MediaElement
